,o18,d2,Dewtem,Time,Tem,Pre,RH,m,dav,prs,d of IsoGSM2
17-Jan,-5.035897143,-18.95898971,3.9,3,7.44,13.1,0.83,1.562932195,10,1022,17.093
17-Feb,-6.197034091,-35.91048864,4.5,17,8.29,36,0.78,2.464611709,10,988,15.624
17-Mar,-2.666462691,-3.436960246,7.8,25,11.43,40.9,0.82,2.055308171,10,983,15.584
17-Apr,-3.047476076,-5.991379044,12.3,34,18.3,49.9,0.74,3.039686301,10,1011,14.019
17-May,-5.37248263,-29.43791384,14.9,27,21.97,48.1,0.71,2.978241148,10,1009,14.759
17-Jun,-6.965346507,-36.5271447,20,46,24.59,115.3,0.81,2.185200469,10,1004,15.592
17-Jul,-10.91781556,-70.75724087,23.7,27,28.98,107.9,0.78,2.643175803,10,1001,18.694
17-Aug,-9.809676977,-59.23142901,22.6,25,28.05,96.3,0.78,2.229582455,10,1000,18.126
17-Sep,-8.973093291,-53.55556582,19.2,18,22.81,24.7,0.83,2.24203283,10,1008,17.993
17-Oct,-12.44507188,-78.26832853,14.7,45,16.67,80.2,0.88,1.148059143,10,1016,19.998
17-Nov,-8.434333647,-36.79497176,10.5,8,13.08,10,0.83,1.717452074,10,1020,17.886
17-Dec,-8.82612,-51.3042,2.3,1,7.19,0.3,0.82,2.421051458,10,1024,19.408
18-Jan,-7.05222,-15.79708929,-0.2,4,4.64,8.6,0.75,1.721177761,10,1021,24.1494765
18-Feb,-7.792656408,-33.83030911,1.8,8,7.24,11.6,0.72,2.006750889,10,989,17.94629596
18-Mar,-6.63815,-14.6459,9.8,17,14.44,34.4,0.77,2.617249683,10,1013,15.33830642
18-Apr,-5.246300217,-21.273304,12.3,35,18.66,64.8,0.71,3.643411677,10,1010,14.87113345
18-May,-6.146029717,-33.94623406,15.8,34,22.03,69.4,0.73,2.695155938,10,1006,14.73479603
18-Jun,-5.521353839,-23.78169712,19.9,32,24.32,65,0.79,2.32743322,10,1003,15.51947799
18-Jul,-12.05342434,-70.99149462,23.5,39,26.58,143,0.84,1.965985356,10,998,18.70587662
18-Aug,-10.5796576,-54.77156823,23,16,27.01,64.4,0.8,3.919917761,10,1001,19.38184254
18-Sep,-12.21367078,-77.89490982,18.7,42,21.27,74,0.84,1.847336249,10,1008,17.21571891
18-Oct,-8.487800332,-40.51468092,13.7,16,15.88,31.6,0.89,2.548065213,10,1018,15.83476132
18-Nov,-11.43032702,-53.14739921,7.5,19,13.08,28,0.89,3.333257526,10,1021,15.43211129
18-Dec,-10.83563063,-58.04370122,4,11,7.19,35,0.89,1.486820385,10,1023,17.75580822
19-Jan,-3.5156024,7.16213,2.4,5,3.9,9.7,0.86,0,10,1025,17.36046114
19-Feb,-1.811916267,17.29422167,3.9,1,7.8,6.1,0.79,0,10,986,16.25015791
19-Mar,-3.480840542,-0.079221832,8.1,31,9.7,42.8,0.88,0,10,1016,15.60236743
19-Apr,-3.155583498,2.773769875,13.8,14,17.4,31.3,0.76,3.244027638,10,1009,15.65865271
19-May,-5.980024065,-21.09893736,15.8,65,18.3,100.9,0.85,2.547566578,10,1008,14.49961673
19-Jun,-12.21367078,-77.89490982,20.1,43,25.5,160,0.82,2.172795012,10,1003,16.06612266
19-Jul,,,22.3,20,24.8,240,0.85,2.914883293,10,1001,14.64693238
19-Aug,,,22.3,26,26,98,0.91,4.674248521,10,1001,16.60087835
19-Sep,-12.18106246,-67.59302992,18.7,54,22.2,216.9,0.95,1.680536422,10,1011,16.37837009
19-Oct,,,14.5,45,18.7,72.7,0.91,1.129654253,10,1016,16.9328637
19-Nov,,,9.2,10,14.5,20.8,0.94,2.610555272,10,1020,17.25335306
19-Dec,,,4.6,2,6.9,3.5,0.88,2.716225797,10,1024,18.05070203
20-Jan,-3.155583498,2.773769875,4,1,7.5,4,0.88,0,10,969,16.98920096
20-Feb,-5.980024065,-21.09893736,5,1,8.1,3.6,0.89,0,10,972,16.97564239
20-Mar,-6.810554314,-45.35189809,8,9,11.5,44.3,0.79,0,10,966,16.19600636
20-Apr,-7.497926054,-41.01182036,14.7,12,13.4,23.3,0.87,3.381274879,10,968,15.96383691
20-May,-9.063448433,-53.5744861,15.1,14,24.3,48.8,0.63,4.493065455,10,956,15.88381397
20-Jun,-8.296065541,-49.26272519,19.8,18,24.5,73.4,0.72,3.159572867,10,957,15.20576793
20-Jul,-11.62470457,-77.41265454,22.4,76,26,310.6,0.88,2.55805944,10,953,14.87291602
20-Aug,-12.73184954,-89.24278739,22.7,42,28.4,175.1,0.85,4.905642578,10,954,17.58865308
20-Sep,-12.08694701,-77.86773264,18.8,51,23.9,91.5,0.85,1.680536422,10,960,15.67901233
20-Oct,-13.85807009,-89.03915137,13.5,28,18.7,72.7,0.88,1.129654253,10,966,18.42358064
20-Nov,,,8.9,4,14.5,20.8,0.85,2.610555272,10,972,17.71331274
20-Dec,-8.141496936,-34.6670951,3.4,1,6.9,3.5,0.85,2.716225797,10,978,16.19968979
